Sales Person,Country,Product,Amount,Boxes Shipped,Day,Month,Year,Price Per Box
Gunar Cockshoot,New Zealand,Raspberry Choco,630.0,52,Wednesday,August,2022,12.115384615384615
Van Tuxwell,Australia,99% Dark & Pure,112.0,128,Monday,January,2022,0.875
Curtice Advani,USA,Drinking Coco,5187.0,142,Monday,February,2022,36.528169014084504
Brien Boise,Australia,Spicy Special Slims,6223.0,256,Monday,May,2022,24.30859375
Mallorie Waber,New Zealand,85% Dark Bars,7714.0,106,Monday,June,2022,72.77358490566037
Wilone O'Kielt,USA,Choco Coated Almonds,9457.0,6,Monday,June,2022,1576.1666666666667
Beverie Moffet,New Zealand,Organic Choco Syrup,6678.0,226,Tuesday,May,2022,29.548672566371682
Gunar Cockshoot,UK,50% Dark Bites,2107.0,121,Thursday,January,2022,17.41322314049587
Marney O'Breen,USA,Raspberry Choco,6069.0,151,Monday,May,2022,40.19205298013245
Jehu Rudeforth,UK,White Choc,1862.0,284,Wednesday,June,2022,6.556338028169014
Jehu Rudeforth,New Zealand,85% Dark Bars,6972.0,89,Friday,March,2022,78.33707865168539
Dotty Strutley,USA,85% Dark Bars,10220.0,508,Monday,April,2022,20.118110236220474
Rafaelita Blaksland,Australia,Smooth Sliky Salty,3969.0,243,Monday,May,2022,16.333333333333332
Curtice Advani,India,Manuka Honey Choco,1547.0,170,Monday,May,2022,9.1
Mallorie Waber,USA,Peanut Butter Cubes,1162.0,18,Monday,May,2022,64.55555555555556
Van Tuxwell,Canada,Peanut Butter Cubes,6342.0,282,Friday,June,2022,22.48936170212766
Kelci Walkden,New Zealand,Smooth Sliky Salty,10633.0,277,Friday,March,2022,38.38628158844765
Rafaelita Blaksland,USA,Smooth Sliky Salty,15057.0,212,Wednesday,July,2022,71.02358490566037
Rafaelita Blaksland,USA,White Choc,4704.0,126,Tuesday,August,2022,37.333333333333336
Roddy Speechley,Canada,Smooth Sliky Salty,9338.0,11,Monday,March,2022,848.9090909090909
Curtice Advani,New Zealand,After Nines,7959.0,30,Tuesday,April,2022,265.3
Camilla Castle,India,85% Dark Bars,9023.0,51,Wednesday,May,2022,176.92156862745097
Ches Bonnell,USA,Choco Coated Almonds,14525.0,92,Tuesday,January,2022,157.8804347826087
Marney O'Breen,Australia,Baker's Choco Chips,5810.0,101,Thursday,January,2022,57.524752475247524
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,6426.0,98,Monday,July,2022,65.57142857142857
Kaine Padly,Australia,Mint Chip Choco,4403.0,159,Tuesday,May,2022,27.69182389937107
Camilla Castle,New Zealand,Peanut Butter Cubes,1582.0,62,Thursday,July,2022,25.516129032258064
Curtice Advani,Canada,Organic Choco Syrup,791.0,22,Tuesday,February,2022,35.95454545454545
Jan Morforth,India,99% Dark & Pure,9100.0,187,Monday,May,2022,48.663101604278076
Rafaelita Blaksland,Canada,Drinking Coco,9884.0,200,Tuesday,July,2022,49.42
Jan Morforth,UK,Orange Choco,3780.0,201,Wednesday,June,2022,18.80597014925373
Barr Faughny,New Zealand,50% Dark Bites,4557.0,308,Thursday,June,2022,14.795454545454545
Curtice Advani,Australia,Eclairs,5796.0,55,Friday,March,2022,105.38181818181818
Jan Morforth,India,Caramel Stuffed Bars,84.0,153,Monday,July,2022,0.5490196078431373
Andria Kimpton,UK,White Choc,9037.0,101,Thursday,May,2022,89.47524752475248
Camilla Castle,New Zealand,Raspberry Choco,4746.0,137,Monday,April,2022,34.64233576642336
Madelene Upcott,Australia,Orange Choco,6713.0,398,Friday,April,2022,16.866834170854272
Roddy Speechley,Canada,Eclairs,6237.0,88,Tuesday,March,2022,70.875
Karlen McCaffrey,India,White Choc,7483.0,232,Monday,January,2022,32.25431034482759
Wilone O'Kielt,India,Mint Chip Choco,1309.0,51,Monday,August,2022,25.666666666666668
Andria Kimpton,UK,99% Dark & Pure,1155.0,66,Monday,July,2022,17.5
Marney O'Breen,UK,50% Dark Bites,2989.0,124,Tuesday,June,2022,24.10483870967742
Ches Bonnell,India,Choco Coated Almonds,9625.0,78,Tuesday,April,2022,123.3974358974359
Madelene Upcott,UK,Raspberry Choco,7357.0,341,Friday,August,2022,21.574780058651026
Wilone O'Kielt,Australia,50% Dark Bites,10031.0,114,Wednesday,August,2022,87.99122807017544
Gigi Bohling,Canada,White Choc,6587.0,4,Monday,July,2022,1646.75
Wilone O'Kielt,New Zealand,Eclairs,3311.0,22,Friday,March,2022,150.5
Brien Boise,UK,Peanut Butter Cubes,15330.0,30,Monday,January,2022,511.0
Roddy Speechley,UK,Baker's Choco Chips,14028.0,351,Monday,April,2022,39.965811965811966
Karlen McCaffrey,Australia,50% Dark Bites,6678.0,708,Monday,January,2022,9.432203389830509
Marney O'Breen,New Zealand,Organic Choco Syrup,8624.0,50,Friday,July,2022,172.48
Jan Morforth,UK,Organic Choco Syrup,1197.0,356,Tuesday,April,2022,3.3623595505617976
Rafaelita Blaksland,Canada,Fruit & Nut Bars,483.0,185,Wednesday,August,2022,2.610810810810811
Ches Bonnell,UK,Choco Coated Almonds,1687.0,236,Tuesday,June,2022,7.148305084745763
Gunar Cockshoot,Canada,Almond Choco,1309.0,30,Thursday,July,2022,43.63333333333333
Husein Augar,USA,99% Dark & Pure,9534.0,111,Monday,February,2022,85.89189189189189
Dennison Crosswaite,Canada,Mint Chip Choco,1694.0,289,Friday,April,2022,5.86159169550173
Brien Boise,UK,Manuka Honey Choco,70.0,103,Tuesday,June,2022,0.6796116504854369
Van Tuxwell,UK,Baker's Choco Chips,2443.0,20,Thursday,March,2022,122.15
Barr Faughny,Australia,Caramel Stuffed Bars,2933.0,55,Friday,July,2022,53.32727272727273
Dennison Crosswaite,USA,Eclairs,2044.0,90,Wednesday,May,2022,22.711111111111112
Gigi Bohling,Australia,Raspberry Choco,6524.0,303,Wednesday,March,2022,21.53135313531353
Dennison Crosswaite,USA,Organic Choco Syrup,12656.0,126,Monday,July,2022,100.44444444444444
Beverie Moffet,Canada,Orange Choco,8722.0,109,Tuesday,May,2022,80.01834862385321
Mallorie Waber,Australia,Choco Coated Almonds,15750.0,92,Friday,March,2022,171.19565217391303
Ches Bonnell,India,Caramel Stuffed Bars,6839.0,56,Wednesday,June,2022,122.125
Van Tuxwell,Canada,50% Dark Bites,13685.0,58,Thursday,May,2022,235.94827586206895
Kelci Walkden,New Zealand,Baker's Choco Chips,2912.0,110,Thursday,June,2022,26.472727272727273
Beverie Moffet,India,Spicy Special Slims,3339.0,171,Thursday,April,2022,19.526315789473685
Gigi Bohling,Australia,Almond Choco,910.0,117,Wednesday,August,2022,7.777777777777778
Rafaelita Blaksland,New Zealand,Eclairs,19481.0,51,Monday,February,2022,381.98039215686276
Kelci Walkden,Canada,Smooth Sliky Salty,8099.0,118,Thursday,March,2022,68.63559322033899
Jan Morforth,India,Baker's Choco Chips,13727.0,79,Monday,August,2022,173.7594936708861
Jehu Rudeforth,Australia,Milk Bars,8659.0,29,Friday,March,2022,298.58620689655174
Gigi Bohling,Canada,Fruit & Nut Bars,5782.0,103,Tuesday,June,2022,56.13592233009709
Beverie Moffet,UK,Eclairs,8463.0,155,Friday,April,2022,54.6
Marney O'Breen,New Zealand,Eclairs,4914.0,31,Tuesday,January,2022,158.51612903225808
Husein Augar,Australia,99% Dark & Pure,3087.0,128,Friday,August,2022,24.1171875
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,9205.0,419,Friday,June,2022,21.968973747016708
Curtice Advani,Canada,70% Dark Bites,2303.0,7,Monday,January,2022,329.0
Kelci Walkden,New Zealand,Manuka Honey Choco,1358.0,106,Friday,April,2022,12.81132075471698
Dotty Strutley,Australia,Baker's Choco Chips,3605.0,68,Tuesday,June,2022,53.01470588235294
Barr Faughny,Australia,85% Dark Bars,8498.0,44,Thursday,February,2022,193.13636363636363
Beverie Moffet,Australia,50% Dark Bites,700.0,457,Monday,May,2022,1.5317286652078774
Gunar Cockshoot,India,Baker's Choco Chips,2191.0,524,Friday,March,2022,4.181297709923665
Van Tuxwell,Australia,50% Dark Bites,644.0,137,Wednesday,July,2022,4.700729927007299
Oby Sorrel,USA,Manuka Honey Choco,4340.0,86,Monday,July,2022,50.46511627906977
Van Tuxwell,Canada,Choco Coated Almonds,2282.0,296,Friday,August,2022,7.70945945945946
Karlen McCaffrey,Canada,70% Dark Bites,7714.0,597,Friday,June,2022,12.921273031825796
Kelci Walkden,Canada,Fruit & Nut Bars,826.0,149,Monday,June,2022,5.543624161073826
Camilla Castle,India,99% Dark & Pure,203.0,207,Tuesday,August,2022,0.9806763285024155
Madelene Upcott,New Zealand,70% Dark Bites,13356.0,93,Tuesday,February,2022,143.61290322580646
Mallorie Waber,New Zealand,Orange Choco,6510.0,23,Tuesday,February,2022,283.04347826086956
Jan Morforth,Canada,70% Dark Bites,5894.0,305,Monday,February,2022,19.324590163934428
Kelci Walkden,Australia,Milk Bars,7910.0,125,Thursday,February,2022,63.28
Dennison Crosswaite,India,Orange Choco,784.0,129,Friday,March,2022,6.077519379844961
Husein Augar,UK,Eclairs,1750.0,252,Tuesday,August,2022,6.944444444444445
Gigi Bohling,USA,Peanut Butter Cubes,280.0,75,Monday,May,2022,3.7333333333333334
Wilone O'Kielt,USA,Smooth Sliky Salty,504.0,87,Tuesday,January,2022,5.793103448275862
Curtice Advani,India,White Choc,7154.0,342,Monday,July,2022,20.91812865497076
Oby Sorrel,New Zealand,Spicy Special Slims,1617.0,13,Friday,June,2022,124.38461538461539
Beverie Moffet,New Zealand,Peanut Butter Cubes,10822.0,30,Wednesday,February,2022,360.73333333333335
Dotty Strutley,New Zealand,99% Dark & Pure,10724.0,203,Monday,May,2022,52.827586206896555
Kelci Walkden,India,70% Dark Bites,3640.0,106,Monday,June,2022,34.339622641509436
Kelci Walkden,India,Drinking Coco,7532.0,234,Monday,July,2022,32.18803418803419
Brien Boise,New Zealand,Drinking Coco,1582.0,100,Monday,June,2022,15.82
Dotty Strutley,Australia,Almond Choco,1456.0,91,Friday,May,2022,16.0
Wilone O'Kielt,New Zealand,Organic Choco Syrup,2016.0,277,Monday,January,2022,7.277978339350181
Ches Bonnell,New Zealand,Caramel Stuffed Bars,7588.0,42,Thursday,June,2022,180.66666666666666
Barr Faughny,Canada,Manuka Honey Choco,3402.0,249,Thursday,August,2022,13.662650602409638
Gigi Bohling,New Zealand,Smooth Sliky Salty,700.0,97,Monday,January,2022,7.216494845360825
Brien Boise,USA,Manuka Honey Choco,1904.0,8,Monday,August,2022,238.0
Roddy Speechley,New Zealand,85% Dark Bars,4844.0,275,Thursday,April,2022,17.614545454545453
Oby Sorrel,UK,Smooth Sliky Salty,9625.0,313,Tuesday,May,2022,30.750798722044728
Oby Sorrel,UK,Raspberry Choco,4599.0,323,Friday,April,2022,14.238390092879257
Roddy Speechley,USA,Drinking Coco,3003.0,155,Monday,February,2022,19.374193548387098
Andria Kimpton,Australia,Manuka Honey Choco,9744.0,377,Wednesday,March,2022,25.846153846153847
Mallorie Waber,India,Raspberry Choco,1400.0,2,Wednesday,March,2022,700.0
Jehu Rudeforth,USA,Orange Choco,364.0,170,Thursday,July,2022,2.1411764705882352
Kaine Padly,New Zealand,70% Dark Bites,7231.0,38,Thursday,March,2022,190.28947368421052
Curtice Advani,Australia,After Nines,63.0,105,Thursday,August,2022,0.6
Husein Augar,UK,Almond Choco,8309.0,166,Tuesday,May,2022,50.05421686746988
Kaine Padly,Canada,Choco Coated Almonds,3164.0,164,Wednesday,May,2022,19.29268292682927
Roddy Speechley,UK,Peanut Butter Cubes,5691.0,171,Wednesday,August,2022,33.280701754385966
Ches Bonnell,New Zealand,Eclairs,490.0,49,Monday,April,2022,10.0
Brien Boise,India,85% Dark Bars,18032.0,205,Tuesday,August,2022,87.9609756097561
Brien Boise,New Zealand,Organic Choco Syrup,637.0,313,Monday,January,2022,2.0351437699680512
Andria Kimpton,Canada,White Choc,4067.0,29,Monday,February,2022,140.24137931034483
Gigi Bohling,New Zealand,Orange Choco,8204.0,307,Monday,May,2022,26.72312703583062
Ches Bonnell,Canada,Smooth Sliky Salty,9870.0,121,Wednesday,March,2022,81.5702479338843
Husein Augar,Canada,70% Dark Bites,5131.0,285,Monday,January,2022,18.003508771929823
Barr Faughny,Canada,Organic Choco Syrup,1141.0,205,Thursday,March,2022,5.565853658536585
Oby Sorrel,UK,Organic Choco Syrup,7980.0,157,Thursday,June,2022,50.82802547770701
Van Tuxwell,New Zealand,Eclairs,5229.0,182,Tuesday,March,2022,28.73076923076923
Mallorie Waber,UK,Drinking Coco,3423.0,100,Friday,May,2022,34.23
Oby Sorrel,UK,Milk Bars,6468.0,223,Monday,July,2022,29.004484304932735
Karlen McCaffrey,New Zealand,Mint Chip Choco,4326.0,61,Wednesday,March,2022,70.91803278688525
Jehu Rudeforth,USA,Raspberry Choco,7154.0,133,Friday,March,2022,53.78947368421053
Kelci Walkden,UK,85% Dark Bars,3997.0,228,Thursday,June,2022,17.530701754385966
Kelci Walkden,USA,Almond Choco,5180.0,233,Thursday,January,2022,22.23175965665236
Marney O'Breen,Canada,Orange Choco,2723.0,425,Friday,January,2022,6.407058823529412
Dennison Crosswaite,India,Fruit & Nut Bars,952.0,24,Friday,July,2022,39.666666666666664
Brien Boise,Canada,Smooth Sliky Salty,5691.0,495,Friday,May,2022,11.496969696969696
Barr Faughny,Canada,Baker's Choco Chips,10969.0,170,Thursday,February,2022,64.52352941176471
Brien Boise,India,Smooth Sliky Salty,5964.0,26,Friday,May,2022,229.3846153846154
Jan Morforth,Australia,Drinking Coco,2821.0,24,Friday,February,2022,117.54166666666667
Brien Boise,India,Spicy Special Slims,1302.0,33,Friday,January,2022,39.45454545454545
Van Tuxwell,UK,Eclairs,5474.0,109,Wednesday,June,2022,50.22018348623853
Wilone O'Kielt,India,Caramel Stuffed Bars,4179.0,276,Thursday,January,2022,15.141304347826088
Jehu Rudeforth,UK,After Nines,1946.0,164,Monday,June,2022,11.865853658536585
Barr Faughny,Canada,White Choc,4291.0,1,Tuesday,March,2022,4291.0
Gunar Cockshoot,India,Organic Choco Syrup,7196.0,160,Friday,June,2022,44.975
Mallorie Waber,Canada,Smooth Sliky Salty,1939.0,98,Monday,March,2022,19.785714285714285
Mallorie Waber,India,Eclairs,10437.0,46,Tuesday,April,2022,226.8913043478261
Rafaelita Blaksland,Australia,Raspberry Choco,6916.0,259,Wednesday,January,2022,26.7027027027027
Karlen McCaffrey,UK,50% Dark Bites,3647.0,310,Wednesday,April,2022,11.764516129032257
Kaine Padly,Australia,50% Dark Bites,8995.0,78,Tuesday,August,2022,115.32051282051282
Gigi Bohling,Australia,Eclairs,7252.0,136,Tuesday,April,2022,53.3235294117647
Oby Sorrel,India,Drinking Coco,16380.0,130,Thursday,July,2022,126.0
Van Tuxwell,New Zealand,Baker's Choco Chips,9660.0,24,Tuesday,March,2022,402.5
Husein Augar,India,Peanut Butter Cubes,4522.0,5,Monday,May,2022,904.4
Andria Kimpton,Australia,Baker's Choco Chips,329.0,109,Tuesday,August,2022,3.018348623853211
Madelene Upcott,Canada,Choco Coated Almonds,3458.0,294,Wednesday,July,2022,11.761904761904763
Brien Boise,India,70% Dark Bites,4641.0,413,Thursday,April,2022,11.23728813559322
Jehu Rudeforth,Canada,White Choc,4627.0,136,Tuesday,January,2022,34.02205882352941
Andria Kimpton,Australia,Almond Choco,3192.0,175,Monday,April,2022,18.24
Dotty Strutley,Canada,After Nines,252.0,237,Monday,January,2022,1.0632911392405062
Karlen McCaffrey,USA,Eclairs,868.0,125,Monday,August,2022,6.944
Karlen McCaffrey,Canada,Fruit & Nut Bars,210.0,16,Thursday,June,2022,13.125
Gunar Cockshoot,USA,85% Dark Bars,7007.0,135,Thursday,June,2022,51.903703703703705
Dotty Strutley,New Zealand,Raspberry Choco,5845.0,91,Thursday,February,2022,64.23076923076923
Marney O'Breen,Canada,Caramel Stuffed Bars,1372.0,614,Wednesday,February,2022,2.234527687296417
Dennison Crosswaite,India,Organic Choco Syrup,8428.0,216,Thursday,January,2022,39.01851851851852
Camilla Castle,UK,Mint Chip Choco,4977.0,317,Thursday,May,2022,15.700315457413248
Brien Boise,USA,70% Dark Bites,1694.0,21,Thursday,April,2022,80.66666666666667
Madelene Upcott,Australia,99% Dark & Pure,4326.0,154,Monday,August,2022,28.09090909090909
Mallorie Waber,Australia,Eclairs,9527.0,222,Monday,August,2022,42.914414414414416
Marney O'Breen,India,99% Dark & Pure,10766.0,157,Friday,July,2022,68.5732484076433
Husein Augar,USA,Fruit & Nut Bars,1288.0,27,Thursday,April,2022,47.7037037037037
Kelci Walkden,Australia,Almond Choco,4879.0,350,Monday,May,2022,13.94
Ches Bonnell,USA,Milk Bars,2408.0,157,Thursday,July,2022,15.337579617834395
Jan Morforth,UK,Caramel Stuffed Bars,3094.0,468,Tuesday,August,2022,6.611111111111111
Brien Boise,New Zealand,70% Dark Bites,7231.0,130,Wednesday,June,2022,55.62307692307692
Oby Sorrel,India,85% Dark Bars,8981.0,130,Tuesday,July,2022,69.08461538461539
Kaine Padly,New Zealand,Smooth Sliky Salty,7.0,518,Tuesday,April,2022,0.013513513513513514
Gigi Bohling,Australia,70% Dark Bites,1372.0,105,Thursday,August,2022,13.066666666666666
Jan Morforth,UK,50% Dark Bites,5250.0,293,Wednesday,January,2022,17.918088737201366
Gunar Cockshoot,Canada,White Choc,7560.0,15,Thursday,August,2022,504.0
Jehu Rudeforth,Australia,Spicy Special Slims,5012.0,384,Thursday,January,2022,13.052083333333334
Husein Augar,UK,Baker's Choco Chips,3038.0,135,Friday,April,2022,22.503703703703703
Rafaelita Blaksland,New Zealand,After Nines,1099.0,92,Thursday,July,2022,11.945652173913043
Madelene Upcott,New Zealand,Mint Chip Choco,7413.0,4,Friday,March,2022,1853.25
Madelene Upcott,UK,70% Dark Bites,5397.0,239,Wednesday,February,2022,22.581589958158997
Barr Faughny,Australia,Organic Choco Syrup,2303.0,33,Friday,January,2022,69.78787878787878
Beverie Moffet,New Zealand,Drinking Coco,1141.0,518,Wednesday,January,2022,2.2027027027027026
Beverie Moffet,India,Eclairs,10325.0,147,Thursday,June,2022,70.23809523809524
Andria Kimpton,India,Eclairs,2149.0,84,Monday,May,2022,25.583333333333332
Gigi Bohling,UK,85% Dark Bars,12362.0,94,Thursday,June,2022,131.51063829787233
Roddy Speechley,UK,Raspberry Choco,12635.0,194,Friday,January,2022,65.12886597938144
Dotty Strutley,UK,Mint Chip Choco,2443.0,216,Thursday,July,2022,11.310185185185185
Barr Faughny,Canada,Drinking Coco,6237.0,247,Monday,April,2022,25.251012145748987
Oby Sorrel,USA,Milk Bars,1736.0,79,Tuesday,June,2022,21.974683544303797
Oby Sorrel,UK,Orange Choco,7315.0,237,Friday,April,2022,30.864978902953588
Curtice Advani,Canada,Peanut Butter Cubes,4935.0,63,Thursday,May,2022,78.33333333333333
Gigi Bohling,India,White Choc,1393.0,172,Wednesday,April,2022,8.098837209302326
Husein Augar,Canada,Choco Coated Almonds,3381.0,408,Monday,August,2022,8.286764705882353
Wilone O'Kielt,India,Choco Coated Almonds,2933.0,233,Monday,August,2022,12.587982832618026
Wilone O'Kielt,New Zealand,Baker's Choco Chips,3836.0,59,Friday,April,2022,65.01694915254237
Kaine Padly,UK,Choco Coated Almonds,8022.0,123,Wednesday,August,2022,65.21951219512195
Dennison Crosswaite,New Zealand,Organic Choco Syrup,371.0,229,Tuesday,January,2022,1.6200873362445414
Kelci Walkden,Canada,After Nines,16702.0,198,Thursday,January,2022,84.35353535353535
Van Tuxwell,Australia,Baker's Choco Chips,13258.0,32,Wednesday,May,2022,414.3125
Husein Augar,New Zealand,Peanut Butter Cubes,2058.0,236,Wednesday,February,2022,8.720338983050848
Kaine Padly,UK,Caramel Stuffed Bars,10192.0,67,Friday,May,2022,152.11940298507463
Jehu Rudeforth,UK,Drinking Coco,7140.0,438,Thursday,February,2022,16.301369863013697
Beverie Moffet,India,Manuka Honey Choco,9835.0,167,Friday,May,2022,58.89221556886228
Gunar Cockshoot,UK,Choco Coated Almonds,5775.0,135,Thursday,June,2022,42.77777777777778
Gunar Cockshoot,UK,Smooth Sliky Salty,749.0,148,Tuesday,March,2022,5.0608108108108105
Camilla Castle,Canada,Orange Choco,7770.0,54,Thursday,February,2022,143.88888888888889
Jehu Rudeforth,UK,85% Dark Bars,5502.0,64,Thursday,July,2022,85.96875
Oby Sorrel,UK,70% Dark Bites,6223.0,181,Wednesday,March,2022,34.38121546961326
Kelci Walkden,UK,99% Dark & Pure,3507.0,114,Friday,August,2022,30.763157894736842
Gigi Bohling,New Zealand,After Nines,5600.0,181,Friday,January,2022,30.939226519337016
Oby Sorrel,Australia,50% Dark Bites,721.0,151,Friday,May,2022,4.774834437086093
Oby Sorrel,Canada,50% Dark Bites,6615.0,137,Friday,June,2022,48.284671532846716
Barr Faughny,USA,White Choc,7420.0,163,Thursday,May,2022,45.52147239263804
Rafaelita Blaksland,New Zealand,99% Dark & Pure,3164.0,84,Friday,March,2022,37.666666666666664
Curtice Advani,Australia,Caramel Stuffed Bars,9114.0,140,Monday,February,2022,65.1
Curtice Advani,New Zealand,85% Dark Bars,5404.0,187,Thursday,May,2022,28.898395721925134
Barr Faughny,New Zealand,Smooth Sliky Salty,3990.0,169,Tuesday,January,2022,23.609467455621303
Ches Bonnell,UK,85% Dark Bars,14924.0,12,Tuesday,June,2022,1243.6666666666667
Dennison Crosswaite,Australia,Drinking Coco,7091.0,194,Wednesday,July,2022,36.55154639175258
Roddy Speechley,USA,Milk Bars,2807.0,252,Monday,May,2022,11.13888888888889
Jan Morforth,India,After Nines,6496.0,168,Monday,March,2022,38.666666666666664
Gunar Cockshoot,USA,After Nines,3738.0,261,Monday,August,2022,14.32183908045977
Ches Bonnell,India,Orange Choco,1190.0,256,Wednesday,February,2022,4.6484375
Mallorie Waber,UK,Manuka Honey Choco,8379.0,43,Wednesday,June,2022,194.86046511627907
Barr Faughny,Australia,Raspberry Choco,9268.0,100,Friday,May,2022,92.68
Wilone O'Kielt,USA,Drinking Coco,1029.0,98,Tuesday,June,2022,10.5
Wilone O'Kielt,India,Eclairs,3549.0,76,Friday,February,2022,46.69736842105263
Wilone O'Kielt,India,After Nines,12026.0,262,Thursday,August,2022,45.900763358778626
Kelci Walkden,India,99% Dark & Pure,2303.0,244,Tuesday,June,2022,9.438524590163935
Gunar Cockshoot,Canada,Spicy Special Slims,13405.0,12,Tuesday,April,2022,1117.0833333333333
Madelene Upcott,Canada,Peanut Butter Cubes,14763.0,113,Tuesday,July,2022,130.64601769911505
Kaine Padly,New Zealand,Eclairs,12894.0,48,Thursday,January,2022,268.625
Ches Bonnell,New Zealand,Drinking Coco,8302.0,131,Wednesday,February,2022,63.37404580152672
Curtice Advani,UK,Drinking Coco,455.0,174,Tuesday,July,2022,2.6149425287356323
Kelci Walkden,India,Raspberry Choco,8183.0,254,Thursday,June,2022,32.21653543307087
Dotty Strutley,Australia,Choco Coated Almonds,1645.0,284,Wednesday,April,2022,5.792253521126761
Kaine Padly,UK,50% Dark Bites,3143.0,67,Monday,February,2022,46.91044776119403
Roddy Speechley,Canada,Choco Coated Almonds,5873.0,249,Wednesday,May,2022,23.586345381526105
Ches Bonnell,India,50% Dark Bites,11298.0,313,Friday,April,2022,36.09584664536741
Oby Sorrel,Canada,Peanut Butter Cubes,12425.0,167,Tuesday,June,2022,74.40119760479043
Oby Sorrel,UK,White Choc,1715.0,286,Monday,June,2022,5.996503496503497
Barr Faughny,India,After Nines,8190.0,109,Friday,July,2022,75.13761467889908
Wilone O'Kielt,Canada,Smooth Sliky Salty,4991.0,166,Thursday,June,2022,30.066265060240966
Rafaelita Blaksland,India,Mint Chip Choco,15491.0,85,Wednesday,January,2022,182.24705882352941
Rafaelita Blaksland,Canada,99% Dark & Pure,5096.0,142,Wednesday,March,2022,35.88732394366197
Van Tuxwell,Australia,70% Dark Bites,7063.0,104,Monday,January,2022,67.91346153846153
Beverie Moffet,USA,70% Dark Bites,2275.0,115,Monday,June,2022,19.782608695652176
Barr Faughny,Canada,Orange Choco,7602.0,18,Thursday,June,2022,422.3333333333333
Roddy Speechley,Australia,85% Dark Bars,4200.0,80,Friday,July,2022,52.5
Oby Sorrel,India,Spicy Special Slims,11137.0,88,Wednesday,June,2022,126.55681818181819
Jan Morforth,UK,Manuka Honey Choco,3388.0,212,Thursday,August,2022,15.981132075471699
Kaine Padly,Australia,After Nines,6832.0,306,Friday,April,2022,22.326797385620914
Wilone O'Kielt,Canada,Fruit & Nut Bars,3437.0,181,Monday,August,2022,18.988950276243095
Wilone O'Kielt,UK,Milk Bars,301.0,65,Friday,August,2022,4.630769230769231
Oby Sorrel,Canada,Fruit & Nut Bars,1869.0,158,Friday,January,2022,11.829113924050633
Dennison Crosswaite,USA,Baker's Choco Chips,17465.0,271,Thursday,August,2022,64.44649446494465
Madelene Upcott,USA,Almond Choco,10143.0,24,Tuesday,May,2022,422.625
Van Tuxwell,New Zealand,50% Dark Bites,3626.0,10,Monday,July,2022,362.6
Karlen McCaffrey,Canada,Caramel Stuffed Bars,3346.0,304,Wednesday,March,2022,11.006578947368421
Madelene Upcott,Australia,Raspberry Choco,6321.0,88,Wednesday,July,2022,71.82954545454545
Rafaelita Blaksland,UK,Spicy Special Slims,9345.0,133,Wednesday,August,2022,70.26315789473684
Curtice Advani,UK,Peanut Butter Cubes,15008.0,165,Tuesday,March,2022,90.95757575757575
Kelci Walkden,New Zealand,White Choc,7609.0,150,Wednesday,April,2022,50.72666666666667
Beverie Moffet,Canada,Fruit & Nut Bars,10332.0,180,Monday,February,2022,57.4
Mallorie Waber,India,White Choc,819.0,213,Tuesday,July,2022,3.8450704225352115
Brien Boise,UK,Drinking Coco,5754.0,133,Thursday,January,2022,43.26315789473684
Jehu Rudeforth,India,Peanut Butter Cubes,28.0,446,Thursday,April,2022,0.06278026905829596
Oby Sorrel,USA,Almond Choco,6440.0,141,Thursday,May,2022,45.673758865248224
Husein Augar,India,Eclairs,4956.0,58,Wednesday,February,2022,85.44827586206897
Brien Boise,UK,Spicy Special Slims,2352.0,58,Wednesday,May,2022,40.55172413793103
Oby Sorrel,Australia,Manuka Honey Choco,3906.0,76,Wednesday,January,2022,51.39473684210526
Beverie Moffet,India,White Choc,1813.0,296,Monday,July,2022,6.125
Ches Bonnell,India,Almond Choco,11788.0,73,Wednesday,April,2022,161.4794520547945
Gigi Bohling,Australia,Smooth Sliky Salty,5768.0,119,Tuesday,January,2022,48.470588235294116
Camilla Castle,USA,85% Dark Bars,2401.0,78,Monday,April,2022,30.78205128205128
Camilla Castle,USA,Eclairs,4515.0,392,Friday,June,2022,11.517857142857142
Madelene Upcott,New Zealand,White Choc,10794.0,51,Monday,August,2022,211.64705882352942
Van Tuxwell,India,After Nines,13706.0,207,Monday,June,2022,66.21256038647343
Husein Augar,India,Orange Choco,4361.0,40,Thursday,June,2022,109.025
Jehu Rudeforth,India,Almond Choco,10122.0,100,Tuesday,August,2022,101.22
Karlen McCaffrey,Australia,Raspberry Choco,994.0,57,Tuesday,August,2022,17.43859649122807
Camilla Castle,New Zealand,99% Dark & Pure,2268.0,42,Friday,August,2022,54.0
Gigi Bohling,Australia,Orange Choco,574.0,156,Wednesday,March,2022,3.6794871794871793
Kelci Walkden,UK,Drinking Coco,1792.0,23,Wednesday,April,2022,77.91304347826087
Mallorie Waber,Canada,Caramel Stuffed Bars,4844.0,539,Friday,June,2022,8.987012987012987
Husein Augar,Australia,Organic Choco Syrup,938.0,158,Tuesday,February,2022,5.936708860759493
Brien Boise,Australia,White Choc,4879.0,22,Thursday,August,2022,221.77272727272728
Dotty Strutley,India,Peanut Butter Cubes,9107.0,73,Wednesday,February,2022,124.75342465753425
Dennison Crosswaite,UK,99% Dark & Pure,12187.0,27,Monday,May,2022,451.3703703703704
